"AUDIO","TRANSCRIPCION","AUDIO_ORIGINAL"
"2019-08-22_153356(mp3cut.net)-01.wav","de que le pateó a la pelota y cuando hi- hici- hizo ese muñequito así se rompió la pelota","2019-08-22_15'33'56' (mp3cut.net).mp3(1)"
"2019-08-22_153356(mp3cut.net)-02.wav","ahí ahí decía Milu","2019-08-22_15'33'56' (mp3cut.net).mp3(2)"
"2019-08-22_153356(mp3cut.net)-03.wav","se explotó el glo- el globo con qué","2019-08-22_15'33'56' (mp3cut.net).mp3(2)"
"2019-08-22_153356(mp3cut.net)-04.wav","con la otra","2019-08-22_15'33'56' (mp3cut.net).mp3(2)"
"2019-08-22_153356(mp3cut.net)-05.wav","está solo el el ese","2019-08-22_15'33'56' (mp3cut.net).mp3(2)"
"2019-08-22_153356(mp3cut.net)-06.wav","su mamá","2019-08-22_15'33'56' (mp3cut.net).mp3(2)"
"2019-08-22_153356(mp3cut.net)-07.wav","em ya no me acuerdo la historia","2019-08-22_15'33'56' (mp3cut.net).mp3(2)"
"2019-08-22_153356(mp3cut.net)-08.wav","no me gustó","2019-08-22_15'33'56' (mp3cut.net).mp3(3)"
"2019-08-22_153356(mp3cut.net)-09.wav","porque es que los perros n- l- no me gustan","2019-08-22_15'33'56' (mp3cut.net).mp3(3)"
"2019-08-22_153356(mp3cut.net)-10.wav","los gatos y los hámsteres","2019-08-22_15'33'56' (mp3cut.net).mp3(3)"
"2019-08-22_153356(mp3cut.net)-11.wav","que","2019-08-22_15'33'56' (mp3cut.net).mp3(4)"
"2019-08-22_153356(mp3cut.net)-12.wav","que antes se le pinchó el globo después le pegó a la chica con la pelota después agarró una flor fue por el puente se cayó","2019-08-22_15'33'56' (mp3cut.net).mp3(4)"
"2019-08-22_153356(mp3cut.net)-13.wav","em se cayó al agua","2019-08-22_15'33'56' (mp3cut.net).mp3(4)"
"2019-08-22_153356(mp3cut.net)-14.wav","l- la chica se acercó","2019-08-22_15'33'56' (mp3cut.net).mp3(4)"
"2019-08-22_153356(mp3cut.net)-15.wav","em le dio le acercó la flor","2019-08-22_15'33'56' (mp3cut.net).mp3(4)"
"2019-08-22_153356(mp3cut.net)-16.wav","le alzó y ahí se fue","2019-08-22_15'33'56' (mp3cut.net).mp3(4)"
"2019-09-06_093147(mp3cut.net)-01.wav","se trató de","2019-09-06_09'31'47' (mp3cut.net).mp3(1)"
"2019-09-06_093147(mp3cut.net)-02.wav","de un de un de un de un señor de que de que de que estaba aburrido y después y después se encontró a un amigo y jugaron y después se les se se les uu y después se les explotó la pelota","2019-09-06_09'31'47' (mp3cut.net).mp3(1)"
"2019-09-06_093147(mp3cut.net)-03.wav","se trataba de un perrito que es- estaba jugando y después se enamoró de una nena y después y después y después le estaba haciendo unas cosas y le salieron mal y después y después buscó una rosa y le y se enamoraron los dos","2019-09-06_09'31'47' (mp3cut.net).mp3(2)"
"Tr_2019-07-01_163139-01.wav","eh un el es el cómo se llama","Tr_2019-07-01_16'31'39'.mp3(1)"
"Tr_2019-07-01_163139-02.wav","el Tabo","Tr_2019-07-01_16'31'39'.mp3(1)"
"Tr_2019-07-01_163139-03.wav","ese se está se agarró el peine y se está pei- se está peinando porque? encontró un un globo","Tr_2019-07-01_16'31'39'.mp3(1)"
"Tr_2019-07-01_163139-04.wav","y encontró a la a la","Tr_2019-07-01_16'31'39'.mp3(1)"
"Tr_2019-07-01_163139-05.wav","a la Luli","Tr_2019-07-01_16'31'39'.mp3(1)"
"Tr_2019-07-01_163139-06.wav","y después se le explotó el globo en un? árbol?","Tr_2019-07-01_16'31'39'.mp3(1)"
"Tr_2019-07-01_163139-07.wav","y después encontró una pelota estaba mostrando a la Luli","Tr_2019-07-01_16'31'39'.mp3(1)"
"Tr_2019-07-01_163139-08.wav","estaba mostrando uu le está? mostrando trucos","Tr_2019-07-01_16'31'39'.mp3(1)"
"Tr_2019-07-01_163139-09.wav","y después una planta y se la dio y se y se fueron juntos","Tr_2019-07-01_16'31'39'.mp3(1)"
"Tr_2019-07-01_163139-10.wav","esa esa uno uno está muy? uu","Tr_2019-07-01_16'31'39'.mp3(2)"
"Tr_2019-07-01_163139-11.wav","y y viene un uno otro uu está uu ese y viene una grandota","Tr_2019-07-01_16'31'39'.mp3(2)"
"Tr_2019-07-01_163139-12.wav","y después","Tr_2019-07-01_16'31'39'.mp3(2)"
"Tr_2019-07-01_163139-13.wav","cómo era","Tr_2019-07-01_16'31'39'.mp3(2)"
"Tr_2019-07-01_163139-14.wav","había había dos que se estaba uu no se podía salir","Tr_2019-07-01_16'31'39'.mp3(2)"
"Tr_2019-07-01_163139-15.wav","había dos y después le estaban pellizcando? las las las manos","Tr_2019-07-01_16'31'39'.mp3(2)"
"Tr_2019-07-01_163139-16.wav","y mm y ahí se soltó una mano y la otra no se soltó","Tr_2019-07-01_16'31'39'.mp3(2)"
"Tr_2019-07-01_163139-17.wav","y después","Tr_2019-07-01_16'31'39'.mp3(2)"
"Tr_2019-07-01_163139-18.wav","eh se robó? la uu","Tr_2019-07-01_16'31'39'.mp3(2)"
"Tr_2019-07-01_163139-19.wav","el la grandota","Tr_2019-07-01_16'31'39'.mp3(2)"
